setting,setting_display,method,method_display,seed,n_participants,n_recordings,participant_macro_accuracy,participant_macro_balanced_accuracy,pooled_recording_accuracy,pooled_recording_balanced_accuracy,diagnostic_only_not_statistical_replicate
loso_arithmetic,Arithmetic LOSO,eegnet,EEGNet,1547,15,60,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,True
loso_arithmetic,Arithmetic LOSO,extra_trees,Extra Trees,1335,15,60,0.51666666666666672,0.51666666666666672,0.51666666666666672,0.51666666666666661,True
loso_arithmetic,Arithmetic LOSO,extra_trees,Extra Trees,1388,15,60,0.51666666666666672,0.51666666666666672,0.51666666666666672,0.51666666666666661,True
loso_arithmetic,Arithmetic LOSO,extra_trees,Extra Trees,1441,15,60,0.51666666666666672,0.51666666666666672,0.51666666666666672,0.51666666666666661,True
loso_arithmetic,Arithmetic LOSO,extra_trees,Extra Trees,1494,15,60,0.51666666666666672,0.51666666666666672,0.51666666666666672,0.51666666666666661,True
loso_arithmetic,Arithmetic LOSO,extra_trees,Extra Trees,1547,15,60,0.51666666666666672,0.51666666666666672,0.51666666666666672,0.51666666666666661,True
loso_arithmetic,Arithmetic LOSO,rf,Random forest,1335,15,60,0.51666666666666672,0.51666666666666672,0.51666666666666672,0.51666666666666661,True
loso_arithmetic,Arithmetic LOSO,rf,Random forest,1388,15,60,0.51666666666666672,0.51666666666666672,0.51666666666666672,0.51666666666666661,True
loso_arithmetic,Arithmetic LOSO,rf,Random forest,1441,15,60,0.51666666666666672,0.51666666666666672,0.51666666666666672,0.51666666666666661,True
loso_arithmetic,Arithmetic LOSO,rf,Random forest,1494,15,60,0.51666666666666672,0.51666666666666672,0.51666666666666672,0.51666666666666661,True
loso_arithmetic,Arithmetic LOSO,rf,Random forest,1547,15,60,0.51666666666666672,0.51666666666666672,0.51666666666666672,0.51666666666666661,True
loso_arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM,1335,15,60,0.53333333333333333,0.53333333333333333,0.53333333333333333,0.53333333333333333,True
loso_arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM,1388,15,60,0.53333333333333333,0.53333333333333333,0.53333333333333333,0.53333333333333333,True
loso_arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM,1441,15,60,0.53333333333333333,0.53333333333333333,0.53333333333333333,0.53333333333333333,True
loso_arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM,1494,15,60,0.53333333333333333,0.53333333333333333,0.53333333333333333,0.53333333333333333,True
loso_arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM,1547,15,60,0.53333333333333333,0.53333333333333333,0.53333333333333333,0.53333333333333333,True
loso_arithmetic,Arithmetic LOSO,riemann_ts_logreg,Riemannian TS-LR,1335,15,60,0.5,0.5,0.5,0.5,True
loso_arithmetic,Arithmetic LOSO,riemann_ts_logreg,Riemannian TS-LR,1388,15,60,0.5,0.5,0.5,0.5,True
loso_arithmetic,Arithmetic LOSO,riemann_ts_logreg,Riemannian TS-LR,1441,15,60,0.5,0.5,0.5,0.5,True
